학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,1학기,대학,생명과학과,BIO3712,01,미생물생리학,조회,3.0,"월,수 10:30~11:45 [K406]",3.0,이규호,23,,,,,,,,,,전학년,3-4학년,,구BIO5712,
2023 학년도,1학기,대학,생명과학과,BIO4203,01,생명과학특허와기술이전,조회,1.0,화 15:00~15:50 [K208],1.0,김현진,9,,,,,,,,,,전학년,3-4학년,,전공학점으로 인정되지 않음.(총학점에는 포함됨),"""*전공학점 불포함, 졸업학점 포함
*물리/화학 특허와 기술이전 과목과 중복수강 불가"""
2023 학년도,1학기,대학,생명과학과,BIO4252,01,암생물학,조회,3.0,"화,목 09:00~10:15 [K305]",3.0,김정호,52,,,,,,,,,,전학년,4학년,,,
2023 학년도,1학기,대학,생명과학과,BIO4321,01,인체생리학,조회,3.0,"화,목 10:30~11:45 [K306]",3.0,이정하,32,,,,,,,,,,전학년,3-4학년,,,
2023 학년도,1학기,대학,생명과학과,BIO4521,01,식물발달생물학,조회,3.0,"월,수 10:30~11:45 [K405]",3.0,이병하,39,O,,,,,,,,,전학년,4학년,,,
2023 학년도,1학기,대학,생명과학과,BIO4931,01,응용바이오기술실험,조회,3.0,,,신형두,9,,,,,,,,,,4학년,4학년,,*특수연구와 동시수강 불가 *7학기 이상 수강가능,"""*전공과목으로 전공학점에 포함
*특수연구와 동일학기 수강불가
*7학기 이상 수강가능"""
2023 학년도,1학기,대학,바이오융합기술 연계전공,BNTG006,01,바이오기술과투자기초,조회,3.0,"화,목 16:30~17:45 [K204]",3.0,"Lee, Hosuk Sean, 김도성",4,,,,,,,,,,"2,3,4학년",3-4학년,"경제대학,경영대학(불가능)",대학원 초급과목(구 기술과경제정책),"학석사연계과목, 경영학과나 경제학과 학생 수강 불허"
2023 학년도,1학기,대학,바이오융합기술 연계전공,BNTG011,01,분자유전체공학,조회,3.0,"수,금 15:00~16:15 [K509]",3.0,조규봉,6,,,,,,,,,,전학년,1-4학년,,,학석사연계과목
2023 학년도,1학기,대학,바이오융합기술 연계전공,BNTG031,01,지식재산권과특허,조회,3.0,화 16:30~19:15 [K509],3.0,김현진,13,,,,,,,,,,"3,4학년",3-4학년,,"대학원초급과목,구BNT5031",학석사연계과목
2023 학년도,1학기,대학,화공생명공학과,CBE2004,01,물리화학,조회,3.0,"수,금 13:30~14:45 [K401]",3.0,강문성,68,O,,,,"[1,3,5,7,9]",,,,,전학년,2학년,,,홀수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE2004,02,물리화학,조회,3.0,"수,금 09:00~10:15 [K403]",3.0,백서인,57,O,,,,"[2,4,6,8,0]",,,,,전학년,2학년,,,"짝수 학번만 수강, 화학과 수강불가(화공생명공학 다전공자의 경우, 물리화학I (CHM2201) 수강을 본 과목의 수강으로 인정함)"
2023 학년도,1학기,대학,화공생명공학과,CBE2005,01,응용유기화학,조회,3.0,"월,수 10:30~11:45 [AS303]",3.0,강태욱,58,O,,,,"[1,3,5,7,9]",,,,,전학년,2학년,화학과(불가능),,"홀수 학번만 수강,화학전공 학생 수강불가"
2023 학년도,1학기,대학,화공생명공학과,CBE2005,02,응용유기화학,조회,3.0,"화,목 09:00~10:15 [AS301]",3.0,박제영,60,O,,,,"[2,4,6,8,0]",,,,,전학년,2학년,화학과(불가능),,"짝수 학번만 수강, 화학전공 학생 수강불가"
2023 학년도,1학기,대학,화공생명공학과,CBE2007,01,응용생화학,조회,3.0,"화,목 13:30~14:45 [K307]",3.0,오병근,57,,,,,"[1,3,5,7,9]",,,,,전학년,2학년,,,홀수 학번만 수강
