과목번호,과목명,학년도,학기,분반,강의계획서,요일,시작시간,종료시간,강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,수강대상,비고
PHI3037,도가철학,2025 학년도,1학기,1,조회,['월'],13:30,16:15,J102,3.0,이임찬,43,,,,,,,"[2, 3, 4]",
PHI3047,전공진로설계Ⅰ,2025 학년도,1학기,1,조회,[],,,,,"Kim, Halla",2,,,,,,,"[2, 3, 4]",
PHI4011,그리스철학특강,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,J102,3.0,전헌상,70,,,,,,,"[2, 3, 4]",
PHI4061,인공지능과 윤리실습(캡스톤디자인),2025 학년도,1학기,1,조회,['금'],10:30,13:15,J202,3.0,박경남,5,,,,,,,"[2, 3, 4]",
PHI4099,개별연구논문,2025 학년도,1학기,1,조회,[],,,,,"Kim, Halla",2,,,O,,,,"[3, 4]",
PHIG086,중세철학사특강,2025 학년도,1학기,1,조회,['금'],10:30,13:15,J909,3.0,이상섭,4,,,,,,,"[3, 4]",PHI5086(대학원 과목)과 합반
PHIQ981,철학교과논리및논술,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,J110,3.0,김민정,1,O,,,,,,"[1, 2, 3, 4]","HISQ982, RELQ982과 합반"
PHY1001,일반물리I,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,J102,3.0,홍준호,88,,,,,,,"[1, 2, 3, 4]",물리1전공 수강불가
PHY1101,일반물리실험I,2025 학년도,1학기,1,조회,['월'],13:30,15:20,R103,2.0,김원태,20,,,,,,,"[1, 2, 3, 4]",
PHY2001,역학I,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,K304,3.0,양상모,66,O,,,,,,"[1, 2, 3, 4]",
PHY2003,전자기학I,2025 학년도,1학기,1,조회,"['화', '목']",09:00,10:15,RA310,3.0,홍준호,66,O,,,,,,"[1, 2, 3, 4]",
PHY2005,수리물리학I,2025 학년도,1학기,1,조회,"['수', '금']",09:00,10:15,RA204,3.0,Scopel Stefano,64,O,,,,,,"[1, 2, 3, 4]",
PHY2009,현대물리학,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,RA308,3.0,박정혁,64,,,,,,,"[1, 2, 3, 4]",
PHY2101,실험물리학I,2025 학년도,1학기,1,조회,['월'],15:00,18:50,R110,4.0,백현준,15,,,,,,,"[1, 2, 3, 4]",
PHY3001,양자물리학I,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,K501,3.0,이현철,59,,,,,,,"[1, 2, 3, 4]",
PHY3003,열역학,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,K402,3.0,백현준,57,O,,,,,,"[1, 2, 3, 4]",
PHY3101,실험물리학III,2025 학년도,1학기,1,조회,['목'],15:00,18:50,R108,4.0,김도석,8,,,,,,,"[1, 2, 3]",
PHY3501,물리캡스톤디자인I(캡스톤디자인),2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,RA406A,3.0,이기진,9,,,,,,,"[1, 2, 3, 4]",
PHY4001,고체물리학I,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,RA406A,3.0,김민수,36,O,,,,,,"[1, 2, 3, 4]",
